City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,New Norfolk,AU,87.01,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
4,Balikpapan,ID,84.2,scattered clouds,-1.2675,116.8289,Grand Jatra Hotel Balikpapan
8,Port Lincoln,AU,82.85,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
13,Bluefields,NI,75.2,light intensity drizzle,12.0137,-83.7635,Flamingo Hotel and Casino
16,Ulladulla,AU,78.8,clear sky,-35.35,150.4667,Sandpiper Motel
18,Hobart,AU,86.0,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
20,Guaramirim,BR,78.8,overcast clouds,-26.4731,-49.0028,Andardac Hotel
23,Rikitea,PF,78.35,scattered clouds,-23.1203,-134.9692,Pension Maro'i
39,Weligama,LK,75.36,overcast clouds,5.9667,80.4167,Weligama Bay Resort
44,Kapaa,US,78.8,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
45,Kuching,MY,77.0,scattered clouds,1.55,110.3333,Hilton Kuching
54,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
56,Vila Velha,BR,79.0,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
60,Parana,AR,87.8,overcast clouds,-31.732,-60.5238,Howard Johnson Plaza Hotel Mayorazgo
61,Alofi,NU,86.0,broken clouds,-19.0595,-169.9187,Taloa Heights
62,Hithadhoo,MV,80.56,overcast clouds,-0.6,73.0833,Scoop Guest House
64,Lorengau,PG,86.31,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
65,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
73,Avarua,CK,86.0,overcast clouds,-21.2078,-159.775,Paradise Inn
76,Butaritari,KI,80.94,light rain,3.0707,172.7902,Isles Sunset Lodge
77,Salinopolis,BR,79.45,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
79,Atuona,PF,77.74,light rain,-9.8,-139.0333,Villa Enata
