City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,2021-01-11 00:30:41,-42.7826,147.0587,87.01,25,85,1.99,overcast clouds
1,Punta Arenas,CL,2021-01-11 00:30:41,-53.15,-70.9167,48.2,66,90,12.66,overcast clouds
2,Port Alfred,ZA,2021-01-11 00:30:41,-33.5906,26.891,66.0,85,83,12.19,broken clouds
3,Kruisfontein,ZA,2021-01-11 00:30:42,-34.0033,24.7314,64.99,80,98,1.01,overcast clouds
4,Balikpapan,ID,2021-01-11 00:30:42,-1.2675,116.8289,84.2,74,40,11.5,scattered clouds
5,Kostino,RU,2021-01-11 00:30:42,58.9097,53.2691,-1.98,90,100,12.62,overcast clouds
6,Ust-Ilimsk,RU,2021-01-11 00:30:42,58.0006,102.6619,-8.75,90,100,1.14,overcast clouds
7,Itoman,JP,2021-01-11 00:30:43,26.1247,127.6694,60.8,72,40,11.5,scattered clouds
8,Port Lincoln,AU,2021-01-11 00:30:43,-34.7333,135.8667,82.85,32,100,20.31,overcast clouds
9,Hermanus,ZA,2021-01-11 00:30:43,-34.4187,19.2345,64.0,79,21,1.99,few clouds
10,Bredasdorp,ZA,2021-01-11 00:26:41,-34.5322,20.0403,62.6,82,99,4.61,light rain
11,Upornaya,RU,2021-01-11 00:30:44,44.3914,41.0196,31.39,98,100,2.86,overcast clouds
12,Kodiak,US,2021-01-11 00:30:10,57.79,-152.4072,39.2,87,90,17.27,light rain
13,Bluefields,NI,2021-01-11 00:30:44,12.0137,-83.7635,75.2,100,90,4.61,light intensity drizzle
14,Barrow,US,2021-01-11 00:30:44,71.2906,-156.7887,3.2,85,90,10.36,haze
15,Saskylakh,RU,2021-01-11 00:30:45,71.9167,114.0833,-8.86,87,100,16.98,overcast clouds
16,Ulladulla,AU,2021-01-11 00:30:45,-35.35,150.4667,78.8,50,0,5.75,clear sky
17,Balakhta,RU,2021-01-11 00:30:45,55.38,91.6,3.61,93,100,7.87,overcast clouds
18,Hobart,AU,2021-01-11 00:28:07,-42.8794,147.3294,86.0,32,0,11.5,clear sky
19,Zavodoukovsk,RU,2021-01-11 00:30:46,56.5042,66.5515,-6.5,90,100,10.42,light snow
20,Guaramirim,BR,2021-01-11 00:29:34,-26.4731,-49.0028,78.8,89,90,5.75,overcast clouds
21,Mataura,NZ,2021-01-11 00:30:46,-46.1927,168.8643,61.0,64,81,15.01,broken clouds
