City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vila Franca Do Campo,37.7167,-25.4333,53.6,62,20,14.97,PT,2021-01-08 00:42:17
1,Nikolskoye,59.7035,30.7861,24.8,86,75,11.18,RU,2021-01-08 00:42:18
2,Rawson,-43.3002,-65.1023,60.39,53,0,10.29,AR,2021-01-08 00:40:47
3,Vostok,46.4856,135.8833,-18.76,82,100,3.71,RU,2021-01-08 00:42:18
4,Mataura,-46.1927,168.8643,62.01,72,66,4.0,NZ,2021-01-08 00:42:18
5,Shenzhen,22.5455,114.0683,48.0,71,90,1.99,CN,2021-01-08 00:38:12
6,Hobart,-42.8794,147.3294,75.99,59,20,6.91,AU,2021-01-08 00:40:08
7,Bom Jardim,-7.7958,-35.5872,72.82,84,41,5.66,BR,2021-01-08 00:42:19
8,Pokhara,28.2333,83.9833,58.15,34,93,4.74,NP,2021-01-08 00:39:01
9,Busselton,-33.65,115.3333,86.0,31,0,4.0,AU,2021-01-08 00:42:19
10,Egvekinot,66.3167,-179.1667,-16.37,91,100,1.61,RU,2021-01-08 00:42:19
11,Longyearbyen,78.2186,15.6401,33.8,75,40,32.21,SJ,2021-01-08 00:42:20
12,Nalut,30.3333,10.85,62.08,30,100,9.19,LY,2021-01-08 00:42:20
13,Albany,42.6001,-73.9662,27.0,74,8,8.01,US,2021-01-08 00:40:27
14,Banda Aceh,5.5577,95.3222,78.82,81,63,13.15,ID,2021-01-08 00:37:55
15,Kirakira,-10.4544,161.9205,84.29,75,100,8.3,SB,2021-01-08 00:42:20
16,Atuona,-9.8,-139.0333,77.61,72,52,13.98,PF,2021-01-08 00:42:21
17,Bonavista,48.6499,-53.1147,42.8,100,71,13.8,CA,2021-01-08 00:42:21
18,Carnarvon,-24.8667,113.6333,86.0,62,25,5.75,AU,2021-01-08 00:42:21
19,Punta Arenas,-53.15,-70.9167,50.0,81,75,11.5,CL,2021-01-08 00:41:11
20,Cabra,37.4725,-4.4421,43.0,79,100,6.35,ES,2021-01-08 00:42:21
21,Arman,59.7,150.1667,-4.43,81,17,5.35,RU,2021-01-08 00:42:22
22,Rikitea,-23.1203,-134.9692,78.66,68,88,3.83,PF,2021-01-08 00:42:22
23,Ardusat,47.65,23.3667,34.0,93,75,1.14,RO,2021-01-08 00:42:22
24,New Norfolk,-42.7826,147.0587,75.99,38,1,1.01,AU,2021-01-08 00:42:22
25,Kaitangata,-46.2817,169.8464,57.99,62,49,5.01,NZ,2021-01-08 00:42:23
26,Tiksi,71.6872,128.8694,-14.55,88,100,17.63,RU,2021-01-08 00:42:23
27,Bredasdorp,-34.5322,20.0403,64.4,77,0,3.6,ZA,2021-01-08 00:42:23
28,Arraial Do Cabo,-22.9661,-42.0278,77.0,91,0,5.75,BR,2021-01-08 00:37:27
29,Kapaa,22.0752,-159.319,78.8,65,1,6.91,US,2021-01-08 00:42:23
30,Tuktoyaktuk,69.4541,-133.0374,-7.6,77,1,10.36,CA,2021-01-08 00:42:24
31,Lom Sak,16.7798,101.2422,73.4,73,40,5.75,TH,2021-01-08 00:42:24
32,Tarsus,36.9188,34.8784,46.4,81,0,4.63,TR,2021-01-08 00:42:24
33,Mersing,2.4312,103.8405,78.8,89,40,10.36,MY,2021-01-08 00:42:24
34,Thompson,55.7435,-97.8558,19.4,93,20,4.61,CA,2021-01-08 00:42:24
35,Gidam,18.9833,81.4,64.45,59,14,1.72,IN,2021-01-08 00:42:25
36,Winslow,35.0242,-110.6974,51.8,17,1,5.75,US,2021-01-08 00:40:04
37,Saint-Leu,-21.15,55.2833,75.2,73,0,4.61,RE,2021-01-08 00:42:25
38,Airai,-8.9266,125.4092,70.47,91,80,3.09,TL,2021-01-08 00:42:25
39,Dalbandin,28.8947,64.4101,30.49,80,0,5.48,PK,2021-01-08 00:42:25
40,Qaanaaq,77.484,-69.3632,-13.38,72,100,8.97,GL,2021-01-08 00:42:26
41,Turan,16.0678,108.2208,66.2,94,75,8.05,VN,2021-01-08 00:42:20
42,Barrow,71.2906,-156.7887,-13.0,77,75,4.61,US,2021-01-08 00:40:01
43,Saskylakh,71.9167,114.0833,-19.98,87,96,7.14,RU,2021-01-08 00:42:27
44,Ushuaia,-54.8,-68.3,51.8,66,75,29.93,AR,2021-01-08 00:39:04
45,Hamilton,39.1834,-84.5333,36.0,64,90,9.22,US,2021-01-08 00:40:19
46,Puerto Ayora,-0.7393,-90.3518,73.99,92,48,1.99,EC,2021-01-08 00:42:28
47,Bud,39.447,-86.1758,35.01,77,100,10.87,US,2021-01-08 00:42:28
48,Ibirama,-27.0569,-49.5178,73.0,97,100,2.44,BR,2021-01-08 00:42:28
49,Mangan,27.5167,88.5333,55.26,37,57,3.15,IN,2021-01-08 00:42:29
50,Gat,31.61,34.7642,60.01,47,1,5.99,IL,2021-01-08 00:42:29
51,Mayo,38.8876,-76.5119,37.4,75,1,3.44,US,2021-01-08 00:42:29
52,Lagoa,39.05,-27.9833,56.39,68,0,18.79,PT,2021-01-08 00:42:29
53,Pacific Grove,36.6177,-121.9166,60.8,59,1,6.53,US,2021-01-08 00:38:10
54,Acarau,-2.8856,-40.12,79.74,81,0,14.74,BR,2021-01-08 00:42:30
55,Brigham City,41.5102,-112.0155,34.0,69,90,3.11,US,2021-01-08 00:40:21
56,Altay,47.8667,88.1167,5.23,59,100,1.88,CN,2021-01-08 00:39:12
57,Poddorye,57.4695,31.1156,18.12,97,73,5.35,RU,2021-01-08 00:42:31
58,Aksu,41.1231,80.2644,10.26,83,100,3.06,CN,2021-01-08 00:42:31
59,Sao Filipe,14.8961,-24.4956,74.79,78,0,5.91,CV,2021-01-08 00:42:32
